occurrenceID	scientificName	scientificNameID	eventDate	verbatimEventDate	decimalLatitude	decimalLongitude	locality	minimumDepthInMeters	maximumDepthInMeters	coordinateUncertaintyInMeters	basisOfRecord	occurrenceStatus	identificationVerificationStatus	references	additionalReferences	modified	footprintWKT	occurrenceRemarks	eventRemarks
a5e8fc97-e937-11e8-b5a3-a3f515eccf40	Dinophysis acuminata	urn:lsid:marinespecies.org:taxname:109603	1991	1991-03/1991-04	-32.543.900.000.000.000	18.178.100.000.000.000	Elands Bay - West Coast of South Africa			32000	HumanObservation	present	1 - good	PITCHER, G.C., D.A. HORSTMAN, D. CALDER, J.H. DE BRUYN and B.J. POST 1993 – The first record of diarrhetic shellfish poisoning on the South African coast. S. Afr. J Sci. 89: 512 -514		1993		Quick Test Kits for DSP done initially on mussels collected and confirmed by mouse bioassay	http://haedat.iode.org/viewEvent.php?eventID=5785 
a5e8fc98-e937-11e8-b5a3-a3f515eccf40	Dinophysis acuminata	urn:lsid:marinespecies.org:taxname:109603	24-02-1992	1992-02/1992-04	-32.543.900.000.000.000	18.178.100.000.000.000	Elands Bay - West Coast of South Africa			32000	HumanObservation	present	1 - good	PITCHER, G.C., D.A. HORSTMAN, D. CALDER, J.H. DE BRUYN and B.J. POST 1993 – The first record of diarrhetic shellfish poisoning on the South African coast. S. Afr. J Sci. 89: 512 -514		1993		Quick Test Kits for DSP done initially on mussels collected and confirmed by mouse bioassay	http://haedat.iode.org/viewEvent.php?eventID=5785 
a5e8fc99-e937-11e8-b5a3-a3f515eccf40	Dinophysis acuminata	urn:lsid:marinespecies.org:taxname:109603	1992	1992-04	-34.357.900.000.000.000	212.624	South Coast of South Africa			246,7	HumanObservation	present	1 - good	PITCHER, G.C., D.A. HORSTMAN, D. CALDER, J.H. DE BRUYN and B.J. POST 1993 – The first record of diarrhetic shellfish poisoning on the South African coast. S. Afr. J Sci. 89: 512 -514		1993		No reported red tides along the coast, but occurance of DSP reported and confirmed	http://haedat.iode.org/viewEvent.php?eventID=5785 
a5e8fc9a-e937-11e8-b5a3-a3f515eccf40	Gonyaulax grindleyi	urn:lsid:marinespecies.org:taxname:110321	1966-12-16/1966-01-05	1966-12-18/1966-12-22	-3.250.976	18.083.500.000.000.000	Elands Bay - West Coast of South Africa	0m	50m	73065	HumanObservation	present	1 - good	GRINDLEY, J.R. and E.A. Nel 1970 - Red water and mussel poisoning at Elands Bay, December 1966. Fish. Bull. S. Afr 6: 36-54	REINECKE, P. 1967 - Gonyaulax grindleyi sp. Nov.: A dinoflagellate causing a red tide at Elands Bay, Cape Province, in December 1966. J.S. Afr. Bot. 33: 157-160. 	1970	POINT (18.08350 -32.50976),POLYGON ((18.27301 -31.86590, 17.98737 -31.91953, 17.89948 -32.45647, 17.50397 -32.90726, 17.91046 -33.04781, 18.33893 -32.54681, 18.34442 -32.24765, 18.27301 -31.86590)))	Mass mortality of White mussels (Donax serra) and Black mussels (Chloromytilus meridionalis) reported	http://haedat.iode.org/viewEvent.php?eventID=6531 
a5e8fc9b-e937-11e8-b5a3-a3f515eccf40	Gymnodinium	urn:lsid:marinespecies.org:taxname:109475	1988-04-16/1988-05-24	1988-04/1988-05	-34.229.970.000.000.000	18.695.979.999.999.900	False Bay - South Coast, South Africa	0m	20m	70176	HumanObservation	present	1 - good	HORSTMAN, D.A., S. MCGIBBON, G.C. PITCHER, D. CALDER, L. HUTCHINGS and P. WILLIAMS 1991 – Red tides in False Bay, 1959-1989, with particular reference to recent blooms of Gymnodinium sp. Transactions of the Royal Society of South Africa 47: 611-628.		1991-09	(POINT (18.69598 -34.22997),POLYGON ((18.47076 -34.35704, 19.31946 -34.44769, 18.86353 -34.15273, 18.73718 -34.05493, 18.40759 -34.09816, 18.47076 -34.35704)))	Mass mortality of vlei sardines (Hersetia breviceps) reported.	http://haedat.iode.org/viewEvent.php?eventID=6537 
a5e8fc9c-e937-11e8-b5a3-a3f515eccf40	Gymnodinium	urn:lsid:marinespecies.org:taxname:109475	1989-03-10/1989-03-25	1989-03	-34.229.970.000.000.000	18.695.979.999.999.900	False Bay - South Coast, South Africa	0m	20m	70176	HumanObservation	present	1 - good	HORSTMAN, D.A., S. MCGIBBON, G.C. PITCHER, D. CALDER, L. HUTCHINGS and P. WILLIAMS 1991 – Red tides in False Bay, 1959-1989, with particular reference to recent blooms of Gymnodinium sp. Transactions of the Royal Society of South Africa 47: 611-628.		1991-09	(POINT (18.69598 -34.22997),POLYGON ((18.47076 -34.35704, 19.31946 -34.44769, 18.86353 -34.15273, 18.73718 -34.05493, 18.40759 -34.09816, 18.47076 -34.35704)))	Mass mortality of abalone reported.	http://haedat.iode.org/viewEvent.php?eventID=6540 
a5e8fc9d-e937-11e8-b5a3-a3f515eccf40	Alexandrium catenella	urn:lsid:marinespecies.org:taxname:231873	2007-03/2007-04	2007-03-20/2007-04-11	-32.04	18.260.000.000.000.000	Lamberts Bay, within St Helena Bay region	0m	50m		HumanObservation	present	1 - good	HUBBART, B., PITCHER, G.C., KROCK, B. and A.D. CEMBELLA 2012 – Toxigenic phytoplankton and concomitant toxicity in the mussel Choromytilus meridionalis off the west coast of South Africa. Harmful Algae, 20: 30-41.		25-07-2012	POINT (18.26000 -32.04000)		http://haedat.iode.org/viewEvent.php?eventID=6541 
a5e8fc9e-e937-11e8-b5a3-a3f515eccf40	Dinophysis acuminata	urn:lsid:marinespecies.org:taxname:109603	2007-03/2007-04	2007-03-20/2007-04-11	-32.04	18.260.000.000.000.000	Lamberts Bay, within St Helena Bay region	0m	50m		HumanObservation	present	1 - good	HUBBART, B., PITCHER, G.C., KROCK, B. and A.D. CEMBELLA 2012 – Toxigenic phytoplankton and concomitant toxicity in the mussel Choromytilus meridionalis off the west coast of South Africa. Harmful Algae, 20: 30-41.		25-07-2012	POINT (18.26000 -32.04000)		http://haedat.iode.org/viewEvent.php?eventID=6542
a5e8fc9f-e937-11e8-b5a3-a3f515eccf40	Gymnodinium	urn:lsid:marinespecies.org:taxname:233020	not given	not given	-34.157.080.000.000.000	18.858.602.999.999.900	Gordons Bay, South Coast, South Africa				HumanObservation	present	1 - good	BOTES, L., S.D. SYM and G.C. PITCHER 2003 – Karenia cristata sp. Nov. and Karenia bicuneiformis sp. Nov. (Gymnodiniales, Dinophyceae): two new Karenia species from the South African coast. Phycologia 42(6): 563-571.	HORSTMAN, D.A., S. MCGIBBON, G.C. PITCHER, D. CALDER, L. HUTCHINGS and P. WILLIAMS 1991 – Red tides in False Bay, 1959-1989, with particular reference to recent blooms of Gymnodinium sp. Transactions of the Royal Society of South Africa 47: 611-628.	2003	POINT (18.85860 -34.15708)	Official record of Karenia cristata as a new species in South Africa.	
a5e8fca0-e937-11e8-b5a3-a3f515eccf40	Alexandrium minutum	urn:lsid:marinespecies.org:taxname:109711	2003-11/2004-02	2003-11-14/2004-02-13	-33.913.200.000.000.000	18.436.199.999.999.900	Cape Town Harbour, Cape Town, South Africa	0m	3m		HumanObservation	present	1 - good	PITCHER, G.C., CEMBELLA, A.D. JOYCE, L.B., LARSEN, J., PROBYN, T.A. and C. RUIZ SEBASTIAN 2007 – The dinoflagellate Alexandrium minutum in Cape Town harbour (South Africa): Bloom characteristics, phylogenetic analysis and toxin composition. Harmful Algae 6: 823-836.		2007	POINT (18.43617 -33.91316)	The molar ratios (% total toxin) of the gonyautoxins were as follows: GTX1 (48.0%), GTX2 (3.9%), GTX3 (5.9%), GTX4 (42.2%). The mean total PSP toxin quota (n=4) was 0.65 pg cell-1 (equivalent to 1.5 fmol GTX cell-1).	http://haedat.iode.org/viewEvent.php?eventID=6578 
