id	Toxin	Value	Unit
288ace64-e935-11e8-b5a3-a3f515eccf40	saxitoxin	1000	MU
288ace65-e935-11e8-b5a3-a3f515eccf40	saxitoxin	500	MU
287dd7a6-e935-11e8-b5a3-a3f515eccf40	quantity	Value	Unit
287dd7a9-e935-11e8-b5a3-a3f515eccf40	quantity	500	Milligrams per cubic metre
287dd7aa-e935-11e8-b5a3-a3f515eccf40	quantity	2000	number per litre
287dd7ab-e935-11e8-b5a3-a3f515eccf40	quantity	2500	number per litre
287dd7ac-e935-11e8-b5a3-a3f515eccf40	quantity	4000	number per litre
287dd7ad-e935-11e8-b5a3-a3f515eccf40	quantity	1667	number per litre
287dd7ae-e935-11e8-b5a3-a3f515eccf40	quantity	667	number per litre
287dd7af-e935-11e8-b5a3-a3f515eccf40	quantity	500	number per litre
287dd7b0-e935-11e8-b5a3-a3f515eccf40	quantity	750	number per litre
287e9ace-e935-11e8-b5a3-a3f515eccf40	quantity	1000	number per litre
287e9acf-e935-11e8-b5a3-a3f515eccf40	quantity	2000	number per litre
287e9ad0-e935-11e8-b5a3-a3f515eccf40	quantity	4000	number per litre
287e9ad1-e935-11e8-b5a3-a3f515eccf40	quantity	2000	number per litre
287e9ad2-e935-11e8-b5a3-a3f515eccf40	quantity	2000	number per litre
287e9ad3-e935-11e8-b5a3-a3f515eccf40	quantity	2000	number per litre
287e9ad4-e935-11e8-b5a3-a3f515eccf40	quantity	9000	number per litre
287e9ad5-e935-11e8-b5a3-a3f515eccf40	quantity	2000	number per litre
287e9ad6-e935-11e8-b5a3-a3f515eccf40	quantity	500	number per litre
287e9ad7-e935-11e8-b5a3-a3f515eccf40	quantity	1000	number per litre
287e9ad8-e935-11e8-b5a3-a3f515eccf40	quantity	1000	number per litre
287f5df6-e935-11e8-b5a3-a3f515eccf40	quantity	1000	number per litre
287f5df7-e935-11e8-b5a3-a3f515eccf40	quantity	333	number per litre
287f5df8-e935-11e8-b5a3-a3f515eccf40	quantity	333	number per litre
287f5df9-e935-11e8-b5a3-a3f515eccf40	quantity	250	number per litre
287f5dfa-e935-11e8-b5a3-a3f515eccf40	quantity	500	number per litre
287f5dfb-e935-11e8-b5a3-a3f515eccf40	quantity	500	number per litre
287f5dfc-e935-11e8-b5a3-a3f515eccf40	quantity	1000	number per litre
287f5dfd-e935-11e8-b5a3-a3f515eccf40	quantity	500	number per litre
287f5dfe-e935-11e8-b5a3-a3f515eccf40	quantity	750	number per litre
287f5dff-e935-11e8-b5a3-a3f515eccf40	quantity	1000	number per litre
287f5e00-e935-11e8-b5a3-a3f515eccf40	quantity	200	number per litre
2880215a-e935-11e8-b5a3-a3f515eccf40	quantity	1000	number per litre
2880215b-e935-11e8-b5a3-a3f515eccf40	quantity	1000	number per litre
2880215c-e935-11e8-b5a3-a3f515eccf40	quantity	200	number per litre
2880215d-e935-11e8-b5a3-a3f515eccf40	quantity	800	number per litre
2880215e-e935-11e8-b5a3-a3f515eccf40	quantity	400	number per litre
2880215f-e935-11e8-b5a3-a3f515eccf40	quantity	750	number per litre
28802160-e935-11e8-b5a3-a3f515eccf40	quantity	500	number per litre
28802161-e935-11e8-b5a3-a3f515eccf40	quantity	667	number per litre
28802162-e935-11e8-b5a3-a3f515eccf40	quantity	333	number per litre
28802163-e935-11e8-b5a3-a3f515eccf40	quantity	250	number per litre
28802164-e935-11e8-b5a3-a3f515eccf40	quantity	250	number per litre
2880e496-e935-11e8-b5a3-a3f515eccf40	quantity	333	number per litre
2880e497-e935-11e8-b5a3-a3f515eccf40	quantity	1000	number per litre
2880e498-e935-11e8-b5a3-a3f515eccf40	quantity	500	number per litre
2880e499-e935-11e8-b5a3-a3f515eccf40	quantity	250	number per litre
2880e49a-e935-11e8-b5a3-a3f515eccf40	quantity	1333	number per litre
2880e49b-e935-11e8-b5a3-a3f515eccf40	quantity	250	number per litre
