occurrenceID	scientificName	scientificNameID	eventDate	verbatimEventDate	decimalLatitude	decimalLongitude	locality	minimumDepthInMeters	maximumDepthInMeters	coordinateUncertaintyInMeters	basisOfRecord	occurrenceStatus	identificationVerificationStatus	references	additionalReferences	modified	footprintWKT	occurrenceRemarks	eventRemarks
287dd7a7-e935-11e8-b5a3-a3f515eccf40	Phaeocystis globosa	urn:lsid:marinespecies.org:taxname:160538	2001-04	2001 (17 and 25 april)	51.583.300.000.000.000	27.972.000.000.000.000	Belgian Continental Shelf			2200	HumanObservation	present	1 - good	"Antajan, E.; Chrétiennot-Dinet, M.-J.; Leblanc, C.; Daro, M.-H.; Lancelot, C. (2004). 19'-hexanoyloxyfucoxanthin may not be the appropriate pigment to trace occurrence and fate of Phaeocystis: the case of P. globosa in Belgian coastal waters, in: Antajan, E. Responses of calanoid copepods to changes in phytoplankton dominance in the diatoms - Phaeocystis globosa dominated Belgium coastal waters. pp. 48-62"			POINT(2.7972 51.5833)	Images present in source	
287dd7a8-e935-11e8-b5a3-a3f515eccf40	Phaeocystis globosa	urn:lsid:marinespecies.org:taxname:160538	2001-04	2001 (17 and 25 april)	51.433.300.000.000.000	28.138.999.999.999.900	Belgian Continental Shelf			2200	HumanObservation	present	1 - good	"Antajan, E.; Chrétiennot-Dinet, M.-J.; Leblanc, C.; Daro, M.-H.; Lancelot, C. (2004). 19'-hexanoyloxyfucoxanthin may not be the appropriate pigment to trace occurrence and fate of Phaeocystis: the case of P. globosa in Belgian coastal waters, in: Antajan, E. Responses of calanoid copepods to changes in phytoplankton dominance in the diatoms - Phaeocystis globosa dominated Belgium coastal waters. pp. 48-62"			POINT(2.8139 51.4333)	Images present in source	
287dd7a9-e935-11e8-b5a3-a3f515eccf40	Phaeocystis globosa	urn:lsid:marinespecies.org:taxname:160538	1994	Late april-early May 1994	51.35	2.8	Belgian Continental Shelf			2200	HumanObservation	present	2 - probable	"Becquevort, S.; Rousseau, V.; Lancelot, C. (1998). Major and comparable roles for free-living and attached bacteria in the degradation of Phaeocystis-derived organic matter in Belgian coastal waters of the North Sea. Aquat. Microb. Ecol. 14(1): 39-48."			POINT(2.8 51.35)		
287dd7aa-e935-11e8-b5a3-a3f515eccf40	Nitzschia seriata	urn:lsid:marinespecies.org:taxname:149152	1973-10-17T08:30:00	17.10.73 0830	51.142.499.999.999.900	27.427.999.999.999.900	Nieuwpoort Harbour			387	HumanObservation	present	3 - uncertain	"Beuls, V.; Brankaer, M.; Buelens, S.; Van Noten, M. (1975). Ekologische en algologische studie van de vaargeul te Nieuwpoort. Bijlage: kwantitatieve en kwalitatieve gegevens van de wierflorula in de vaargeul te Nieuwpoort. Katholieke Universiteit Leuven - Faculteit Wetenschappen: Leuven. No paging [603] pp."			POLYGON ((2.74321 51.13925, 2.74467 51.13924, 2.74306 51.14312, 2.74493 51.14328, 2.74480 51.14407, 2.74330 51.14391, 2.74220 51.14348, 2.74036 51.14446, 2.73939 51.14372, 2.74208 51.14184, 2.74272 51.14133, 2.74321 51.13925))		
287dd7ab-e935-11e8-b5a3-a3f515eccf40	Nitzschia seriata	urn:lsid:marinespecies.org:taxname:149152	1973-10-17T09:15:00	17.10.73 0915	51.142.499.999.999.900	27.427.999.999.999.900	Nieuwpoort Harbour			387	HumanObservation	present	3 - uncertain	"Beuls, V.; Brankaer, M.; Buelens, S.; Van Noten, M. (1975). Ekologische en algologische studie van de vaargeul te Nieuwpoort. Bijlage: kwantitatieve en kwalitatieve gegevens van de wierflorula in de vaargeul te Nieuwpoort. Katholieke Universiteit Leuven - Faculteit Wetenschappen: Leuven. No paging [603] pp."			POLYGON ((2.74321 51.13925, 2.74467 51.13924, 2.74306 51.14312, 2.74493 51.14328, 2.74480 51.14407, 2.74330 51.14391, 2.74220 51.14348, 2.74036 51.14446, 2.73939 51.14372, 2.74208 51.14184, 2.74272 51.14133, 2.74321 51.13925))		
287dd7ac-e935-11e8-b5a3-a3f515eccf40	Nitzschia seriata	urn:lsid:marinespecies.org:taxname:149152	1973-10-17T010:45:00	17.10.73 1045	51.142.499.999.999.900	27.427.999.999.999.900	Nieuwpoort Harbour			387	HumanObservation	present	3 - uncertain	"Beuls, V.; Brankaer, M.; Buelens, S.; Van Noten, M. (1975). Ekologische en algologische studie van de vaargeul te Nieuwpoort. Bijlage: kwantitatieve en kwalitatieve gegevens van de wierflorula in de vaargeul te Nieuwpoort. Katholieke Universiteit Leuven - Faculteit Wetenschappen: Leuven. No paging [603] pp."			POLYGON ((2.74321 51.13925, 2.74467 51.13924, 2.74306 51.14312, 2.74493 51.14328, 2.74480 51.14407, 2.74330 51.14391, 2.74220 51.14348, 2.74036 51.14446, 2.73939 51.14372, 2.74208 51.14184, 2.74272 51.14133, 2.74321 51.13925))		
287dd7ad-e935-11e8-b5a3-a3f515eccf40	Nitzschia seriata	urn:lsid:marinespecies.org:taxname:149152	1973-10-17T11:30:00	17.10.73 1130	51.142.499.999.999.900	27.427.999.999.999.900	Nieuwpoort Harbour			387	HumanObservation	present	3 - uncertain	"Beuls, V.; Brankaer, M.; Buelens, S.; Van Noten, M. (1975). Ekologische en algologische studie van de vaargeul te Nieuwpoort. Bijlage: kwantitatieve en kwalitatieve gegevens van de wierflorula in de vaargeul te Nieuwpoort. Katholieke Universiteit Leuven - Faculteit Wetenschappen: Leuven. No paging [603] pp."			POLYGON ((2.74321 51.13925, 2.74467 51.13924, 2.74306 51.14312, 2.74493 51.14328, 2.74480 51.14407, 2.74330 51.14391, 2.74220 51.14348, 2.74036 51.14446, 2.73939 51.14372, 2.74208 51.14184, 2.74272 51.14133, 2.74321 51.13925))		
287dd7ae-e935-11e8-b5a3-a3f515eccf40	Nitzschia seriata	urn:lsid:marinespecies.org:taxname:149152	1973-10-17T12:15:00	17.10.73 1215	51.142.499.999.999.900	27.427.999.999.999.900	Nieuwpoort Harbour			387	HumanObservation	present	3 - uncertain	"Beuls, V.; Brankaer, M.; Buelens, S.; Van Noten, M. (1975). Ekologische en algologische studie van de vaargeul te Nieuwpoort. Bijlage: kwantitatieve en kwalitatieve gegevens van de wierflorula in de vaargeul te Nieuwpoort. Katholieke Universiteit Leuven - Faculteit Wetenschappen: Leuven. No paging [603] pp."			POLYGON ((2.74321 51.13925, 2.74467 51.13924, 2.74306 51.14312, 2.74493 51.14328, 2.74480 51.14407, 2.74330 51.14391, 2.74220 51.14348, 2.74036 51.14446, 2.73939 51.14372, 2.74208 51.14184, 2.74272 51.14133, 2.74321 51.13925))		
287dd7af-e935-11e8-b5a3-a3f515eccf40	Nitzschia seriata	urn:lsid:marinespecies.org:taxname:149152	1973-10-17T13:45:00	17.10.73 1345	51.142.499.999.999.900	27.427.999.999.999.900	Nieuwpoort Harbour			387	HumanObservation	present	3 - uncertain	"Beuls, V.; Brankaer, M.; Buelens, S.; Van Noten, M. (1975). Ekologische en algologische studie van de vaargeul te Nieuwpoort. Bijlage: kwantitatieve en kwalitatieve gegevens van de wierflorula in de vaargeul te Nieuwpoort. Katholieke Universiteit Leuven - Faculteit Wetenschappen: Leuven. No paging [603] pp."			POLYGON ((2.74321 51.13925, 2.74467 51.13924, 2.74306 51.14312, 2.74493 51.14328, 2.74480 51.14407, 2.74330 51.14391, 2.74220 51.14348, 2.74036 51.14446, 2.73939 51.14372, 2.74208 51.14184, 2.74272 51.14133, 2.74321 51.13925))		
287dd7b0-e935-11e8-b5a3-a3f515eccf40	Nitzschia seriata	urn:lsid:marinespecies.org:taxname:149152	1973-10-17T14:10:00	17.10.73 1410	51.142.499.999.999.900	27.427.999.999.999.900	Nieuwpoort Harbour			387	HumanObservation	present	3 - uncertain	"Beuls, V.; Brankaer, M.; Buelens, S.; Van Noten, M. (1975). Ekologische en algologische studie van de vaargeul te Nieuwpoort. Bijlage: kwantitatieve en kwalitatieve gegevens van de wierflorula in de vaargeul te Nieuwpoort. Katholieke Universiteit Leuven - Faculteit Wetenschappen: Leuven. No paging [603] pp."			POLYGON ((2.74321 51.13925, 2.74467 51.13924, 2.74306 51.14312, 2.74493 51.14328, 2.74480 51.14407, 2.74330 51.14391, 2.74220 51.14348, 2.74036 51.14446, 2.73939 51.14372, 2.74208 51.14184, 2.74272 51.14133, 2.74321 51.13925))		
