occurrenceID	scientificName	scientificNameID	eventDate	verbatimEventDate	decimalLatitude	decimalLongitude	locality	minimumDepthInMeters	maximumDepthInMeters	coordinateUncertaintyInMeters	basisOfRecord	occurrenceStatus	identificationVerificationStatus	associatedReferences	modified	footprintWKT	occurrenceRemarks	eventRemarks
7d9f9257-4f44-4c8d-acff-e5f849788f6e	Gymnodinium galatheanum	urn:lsid:marinespecies.org:taxname:109796	1950-1952	1950-12-24	-22.916888	14.470011	Walvis Bay off the coast of Namibia				HumanObservation	present	1 - good	BRAARUD, T. 1957 - A red water organism from Walvis Bay (Gymnodinium galatheanum n. sp.). Galathea Deep Sea Exped. 1: 137-138.	1957		Described as a new species. Cells without plate structure, but a firm periplasm instead. Red water.	
d320592a-ec87-434d-bbef-5c5f6481db3c	Gymnodinium galatheanum	urn:lsid:marinespecies.org:taxname:109796	1965-08		-22.902933	14.481881	Walvis Bay off the coast of Namibia	0	5		HumanObservation	present	1 - good	PIETERSE, F. and D. C. VAN DER POST 1967 - The pilchard of South West Africa. Oceanographical conditions associated with red tides and fish mortalities in the Walvis Bay region. Investl Rep. mar. Res. Lab S.W. Afr. 14: 125pp.;BRAARUD, T. 1957 - A red water organism from Walvis Bay (Gymnodinium galatheanum n. sp.). Galathea Deep Sea Exped. 1: 137-138.	1967		This species was subdominant at 7327500 cells/L during the January 1965 bloom where there were mass mortalities of fish.	
7c503b21-5ea1-4e24-b208-78e5fe62c79f	Gonyaulax tamarensis	urn:lsid:marinespecies.org:taxname:109714	1965-06		-22.902933	14.481881	Walvis Bay off the coast of Namibia	0	5		HumanObservation	present	1 - good	PIETERSE, F. and D. C. VAN DER POST 1967 - The pilchard of South West Africa. Oceanographical conditions associated with red tides and fish mortalities in the Walvis Bay region. Investl Rep. mar. Res. Lab S.W. Afr. 14: 125pp.	1967		Dominant dinoflagellate during a minor bloom in June 1965.	
717d4fab-5dd1-4683-ab0d-41a7e151ea10	Peridinium triquetrum	urn:lsid:marinespecies.org:taxname:110153	1964-12-01/1965-01-27		-22.902933	14.481881	Walvis Bay off the coast of Namibia	0	5		HumanObservation	present	1 - good	PIETERSE, F. and D. C. VAN DER POST 1967 - The pilchard of South West Africa. Oceanographical conditions associated with red tides and fish mortalities in the Walvis Bay region. Investl Rep. mar. Res. Lab S.W. Afr. 14: 125pp.	1967		Cells/L recoreded during a large bloom in January 1965 which was also responsible for mass mortalities of fish.	
841742cb-a8f5-47b0-83a8-1e48957209ed	Gonyaulax spinifera	urn:lsid:marinespecies.org:taxname:110041	2012	2012-03	-22.916888	14.470011	Walvis Bay off the coast of Namibia				HumanObservation	present	1 - good	CHIKWILILWA, C., MCCARRON, P., WANIEK J. J. and D.E. SCHULZ-BULL 2019 - Phylogenetic analysis and yessotoxin profiles of Gonyaulax spinifera cultures from the Benguela Current upwelling system. Harmful Algae 85: 101626.;RAJOTTE, I., RAFUSE, C., WRIGHT, E. J., ACHENBACH J. C., ELLIS L. D. and P. MCCARRON 2019 - Structure Elucidation and Relative Toxicity of (24R)‑24-Hydroxyyessotoxin from a Namibian Isolate of Gonyaulax spinifera.J. Nat. Prod.	2019		The identification and confirmation of YTX producing G. spinifera in the Benguela region indicate that it is a recurring and prominent concern to the Namibian shellfish mariculture industry.	
25665484-08b5-440e-a3a4-80e4b2052cde	Pseudo-nitzschia	urn:lsid:marinespecies.org:taxname:149151	2001-2014		-23.005069	14.213944	Along the -23°S latitude/ transect at 10NM intervals form Walvis Bay harbour		15		HumanObservation	present	1 - good	LOUW, D. C., DOUCETTE, G. J. and E. VOGES 2016 - Annual patterns, distribution and long-term trends of Pseudo-nitzschia species in the northern Benguela upwelling system. J. Plankton Res.00 (00): 1-13.	2016-11			
3aa211ec-c0b4-4993-850f-cf26c41dd33e	Pseudo-nitzschia australis	urn:lsid:marinespecies.org:taxname:246604	2016-12-08		-26.38		20NM from shore in line with Luderitz and Shearwater Bay.	190			HumanObservation	present	1 - good	GIA, F. F., HEDEMAND, C. K., LOUW, D. C., GROBLER K., KROCK B., MOESTRUP, Ø and N. LUNDHOLM 2018 - Morphological, molecular and toxigenic characteristics of Namibian Pseudo-nitzschia species - including Pseudo-nitzschia bucculenta sp. nov. Harmful Algae 76: 80-95.	2018-05-14		The amount of toxin per cell was measured initially, before the exponential phase of growth.	
4e2c3b79-d4db-4064-915b-ac31796eba71	Pseudo-nitzschia fraudulenta	urn:lsid:marinespecies.org:taxname:246606	2016-11-21		-18		Sample collected from -18deg South at both 2NM and 10NM offshore.	45	132		HumanObservation	present	1 - good	GIA, F. F., HEDEMAND, C. K., LOUW, D. C., GROBLER K., KROCK B., MOESTRUP, Ø and N. LUNDHOLM 2018 - Morphological, molecular and toxigenic characteristics of Namibian Pseudo-nitzschia species - including Pseudo-nitzschia bucculenta sp. nov. Harmful Algae 76: 80-95.	2018-05-14		No toxin detected in this species.	
9fe83301-3f6c-45c3-ad39-46042b8bf912	Pseudo-nitzschia pungens var. cingulata	urn:lsid:marinespecies.org:taxname:531456	2016-12-08		-26.38		20NM from shore in line with Luderitz and Shearwater Bay.	190			HumanObservation	present	1 - good	GIA, F. F., HEDEMAND, C. K., LOUW, D. C., GROBLER K., KROCK B., MOESTRUP, Ø and N. LUNDHOLM 2018 - Morphological, molecular and toxigenic characteristics of Namibian Pseudo-nitzschia species - including Pseudo-nitzschia bucculenta sp. nov. Harmful Algae 76: 80-95.	2018-05-14		No toxin detected in this species.	
79318765-dbd6-4be5-b94c-7321400e7397	Pseudo-nitzschia australis	urn:lsid:marinespecies.org:taxname:246604	2004-08-05		-23		Sample collected along the -23deg South and 70NM offshore.				HumanObservation	present	1 - good	LOUW, D. C., DOUCETTE, G. J. and N. LUNDHOLM 2018 - Morphology and toxicity of Pseudo-nitzschia species in the northern Benguela upwelling system. Harmful Algae 75: 118-128.	2018-04-23			http://haedat.iode.org/viewEvent.php?eventID=8747
