occurrenceID	scientificName	scientificNameID	eventDate	verbatimEventDate	decimalLatitude	decimalLongitude	locality	minimumDepthInMeters	maximumDepthInMeters	coordinateUncertaintyInMeters	basisOfRecord	occurrenceStatus	identificationVerificationStatus	references	additionalReferences	modified	footprintWKT	occurrenceRemarks	eventRemarks
cf8f98a5-e935-11e8-b5a3-a3f515eccf40	Pyrodinium bahamense var. compressum	urn:lsid:marinespecies.org:taxname:231886	1983-06		11.662.777.999.999.900	12.493.083.300.000.000	Maqueda and Villareal Bay, Western Samar			20000	HumanObservation	present	1 - good	"Estudillo, R.A. and C.L. Gonzales. 1984. Red tides and paralytic shellfish poisoning in the Philippines, p. 52-79. In A.W. White; M. Anraku and K.-K. Hmi (eds.) Toxic red tides and shellfish toxicity in Southeast Asia. Southeast Asian Fisheries Development Center, Singapoh, and International Development Research Centre, Ottawa, Canada."	MACLEAN, J.L. 1989. An overview of Pyrodinium red tides in the western Pacific, p. 1-8. In GM. Hallegraeff and J.L.  Maclean (eds.) Biology, epidemiology and management of Pyrodinium red tides. ICLARM Conference Proceedings 21,				
286 p. Fisheries Department, Ministry of Development, Brunei Darussalam, and International Center for Living Aquatic Resources Management, Manila, Philippines.	27-09-2017		First documented occurrence of Pyrodinium bahamense var. compressum in the Philippines	http://haedat.iode.org/viewEvent.php?eventID=5782															
cf8f98a6-e935-11e8-b5a3-a3f515eccf40	Pyrodinium bahamense var. compressum	urn:lsid:marinespecies.org:taxname:231886	1987-05		11.36	124.68	Carigara Bay to Biliran				HumanObservation	present	1 - good	Gonzales, C.L. 1989. Pyrodinium blooms and paralytic shellfish poisoning in the Philippines. In: Biology, Epidemiology and Management of Pyrodinium Red Tides. Hallegraeff, G.M. and Maclean, J.L. (eds). Conf. Proc. 21. ICLARM, pp. 39?48.	MACLEAN, J.L. 1989. An overview of Pyrodinium red tides in the western Pacific, p. 1-8. In GM. Hallegraeff and J.L.  Maclean (eds.) Biology, epidemiology and management of Pyrodinium red tides. ICLARM Conference Proceedings 21,				
286 p. Fisheries Department, Ministry of Development, Brunei Darussalam, and International Center for Living Aquatic Resources Management, Manila, Philippines.	27-09-2017			http://haedat.iode.org/viewEvent.php?eventID=5811															
cf8f98a7-e935-11e8-b5a3-a3f515eccf40	Pyrodinium bahamense var. compressum	urn:lsid:marinespecies.org:taxname:231886	1987-07		15.524.967	11.994.017.100.000.000	Santa Cruz, Zambales also in Subic Bay, Zambales				HumanObservation	present	1 - good	Gonzales, C.L. 1989. Pyrodinium blooms and paralytic shellfish poisoning in the Philippines. In: Biology, Epidemiology and Management of Pyrodinium Red Tides. Hallegraeff, G.M. and Maclean, J.L. (eds). Conf. Proc. 21. ICLARM, pp. 39?48.	MACLEAN, J.L. 1989. An overview of Pyrodinium red tides in the western Pacific, p. 1-8. In GM. Hallegraeff and J.L.  Maclean (eds.) Biology, epidemiology and management of Pyrodinium red tides. ICLARM Conference Proceedings 21,				
286 p. Fisheries Department, Ministry of Development, Brunei Darussalam, and International Center for Living Aquatic Resources Management, Manila, Philippines.	27-09-2017			http://haedat.iode.org/viewEvent.php?eventID=5801															
cf8f98a8-e935-11e8-b5a3-a3f515eccf40	Pyrodinium bahamense var. compressum	urn:lsid:marinespecies.org:taxname:231886	19-08-1988		14.547.554	120.735.005	http://marineregions.org/mrgid/31579				HumanObservation	present	1 - good	Gonzales, C.L. 1989. Pyrodinium blooms and paralytic shellfish poisoning in the Philippines. In: Biology, Epidemiology and Management of Pyrodinium Red Tides. Hallegraeff, G.M. and Maclean, J.L. (eds). Conf. Proc. 21. ICLARM, pp. 39?48.	MACLEAN, J.L. 1989. An overview of Pyrodinium red tides in the western Pacific, p. 1-8. In GM. Hallegraeff and J.L.  Maclean (eds.) Biology, epidemiology and management of Pyrodinium red tides. ICLARM Conference Proceedings 21,				
286 p. Fisheries Department, Ministry of Development, Brunei Darussalam, and International Center for Living Aquatic Resources Management, Manila, Philippines.	27-09-2017		First occurrence in Manila Bay	http://haedat.iode.org/viewEvent.php?eventID=5827															
cf8f98a9-e935-11e8-b5a3-a3f515eccf40	Pyrodinium bahamense var. compressum	urn:lsid:marinespecies.org:taxname:231886	22-09-1988		11.5	124.75	Cagduyong Island, Western Samar				HumanObservation	present	1 - good	Gonzales, C.L. 1989. Pyrodinium blooms and paralytic shellfish poisoning in the Philippines. In: Biology, Epidemiology and Management of Pyrodinium Red Tides. Hallegraeff, G.M. and Maclean, J.L. (eds). Conf. Proc. 21. ICLARM, pp. 39?48.	MACLEAN, J.L. 1989. An overview of Pyrodinium red tides in the western Pacific, p. 1-8. In GM. Hallegraeff and J.L.  Maclean (eds.) Biology, epidemiology and management of Pyrodinium red tides. ICLARM Conference Proceedings 21,				
286 p. Fisheries Department, Ministry of Development, Brunei Darussalam, and International Center for Living Aquatic Resources Management, Manila, Philippines.	27-09-2017			http://haedat.iode.org/viewEvent.php?eventID=5829															
cf8f98aa-e935-11e8-b5a3-a3f515eccf40	Pyrodinium bahamense var. compressum	urn:lsid:marinespecies.org:taxname:231886	1989-02		10.947.449.000.000.000	12.458.805.599.999.900	Ormoc Bay				HumanObservation	present	1 - good	Gonzales, C.L. 1989. Pyrodinium blooms and paralytic shellfish poisoning in the Philippines. In: Biology, Epidemiology and Management of Pyrodinium Red Tides. Hallegraeff, G.M. and Maclean, J.L. (eds). Conf. Proc. 21. ICLARM, pp. 39?48.		27-09-2017			http://haedat.iode.org/viewEvent.php?eventID=5831
cf8f98ab-e935-11e8-b5a3-a3f515eccf40	Pyrodinium bahamense var. compressum	urn:lsid:marinespecies.org:taxname:231886	16-09-2010		112.242	1.255.655	Matarinao Bay, Samar			9000	HumanObservation	present	1 - good	Onda, D.F.L., G. Benico, A.F. Sulit, P.L. Gaite, R.V. Azanza, A. Lluisma. 2013. Morphological and molecular characterization of some HAB-forming dinoflagellates from Philippine waters		27-09-2017			
cf8f98ac-e935-11e8-b5a3-a3f515eccf40	Pyrodinium bahamense var. compressum	urn:lsid:marinespecies.org:taxname:231886	29-10-2005		99.441.109.999.999.900	118.883.337	Honda Bay, Palawan			30000	HumanObservation	present	1 - good	Onda, D.F.L., G. Benico, A.F. Sulit, P.L. Gaite, R.V. Azanza, A. Lluisma. 2013. Morphological and molecular characterization of some HAB-forming dinoflagellates from Philippine waters		27-09-2017			
