Scientific name*;Reported name (if different);Identification status;Reference;Additional references;HAEDAT URL;Last modified;Date*;Verbatim date;Latitude*;Longitude*;Coordinate uncertainty;WKT;Locality;Minimum depth;Maximum depth;Value;Unit;Toxin;Value;Unit;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Alexandrium catenella ;;1 - good;Seguel M., Tocornal M.A. & Sfeir A. 2005. Floraciones algales nocivas en los canales y fiordos del sur de Chile. Revista Ciencia y Tecnología del Mar 28: 5-13.;;;;2001-07;;-44,7194;-72,7350;1000;;Fjords of Southern Chile;;;;;;;;Cysts;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Alexandrium catenella ;;1 - good;Seguel M., Tocornal M.A. & Sfeir A. 2005. Floraciones algales nocivas en los canales y fiordos del sur de Chile. Revista Ciencia y Tecnología del Mar 28: 5-13.;;;;2001-07;;-46,4814;-73,7485;1000;;Fjords of Southern Chile;;;;;;;;Cysts;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Alexandrium catenella;;1 - good;Seguel M., Tocornal M.A. & Sfeir A. 2005. Floraciones algales nocivas en los canales y fiordos del sur de Chile. Revista Ciencia y Tecnología del Mar 28: 5-13.;;;;2001-11;;-44,6608;-73,5864;1000;;Fjords of Southern Chile;;;;;;;;Cysts;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Alexandrium catenella;;1 - good;Seguel M., Tocornal M.A. & Sfeir A. 2005. Floraciones algales nocivas en los canales y fiordos del sur de Chile. Revista Ciencia y Tecnología del Mar 28: 5-13.;;;;2001-11;;-45,8479;-73,6166;1000;;Fjords of Southern Chile;;;;;;;;Cysts;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Alexandrium catenella;;1 - good;Seguel M., Tocornal M.A. & Sfeir A. 2005. Floraciones algales nocivas en los canales y fiordos del sur de Chile. Revista Ciencia y Tecnología del Mar 28: 5-13.;;;;2001-11;;-44,6393;-72,8778;1000;;Fjords of Southern Chile;;;;;;;;Motile cells;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Alexandrium catenella;;1 - good;Seguel M., Tocornal M.A. & Sfeir A. 2005. Floraciones algales nocivas en los canales y fiordos del sur de Chile. Revista Ciencia y Tecnología del Mar 28: 5-13.;;;;2001-11;;-45,1356;-73,4985;1000;;Fjords of Southern Chile;;;;;;;;Motile cells;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Alexandrium catenella;;1 - good;Varela D., Paredes J., Alves-de-Souza C., Seguel M., Sfeir A., Frangópulos M. 2012. Intraregional variation among Alexandrium catenella (Dinophyceae) strains from southern Chile: Morphological, toxicological and genetic diversity. Harmful Algae 15: 8–18.;;;;2004;;-43,1491;-73,5974;1000;;Quellón, Los Lagos Region, Chile;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Alexandrium catenella;;1 - good;Varela D., Paredes J., Alves-de-Souza C., Seguel M., Sfeir A., Frangópulos M. 2012. Intraregional variation among Alexandrium catenella (Dinophyceae) strains from southern Chile: Morphological, toxicological and genetic diversity. Harmful Algae 15: 8–18.;;;;2004;;-43,7969;-73,0124;1000;;Santo Domingo, Aysén Region, Chile;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Alexandrium catenella;;1 - good;Pizarro G., Garrido C., Cárdenas C., Frangópulos M., Alarcón C., Guzmán L., Zamora C. & Pacheco H. 2011. Distribución espacial de alexandrium catenella y de toxinas paralizantes en el plancton y mariscos entre el Golfo de Penas y Canal Trinidad (primavera 2008). Revista Ciencia y Tecnología del Mar, 34: 1-4. ;;;;2008-11-02/2008-11-21;Cruise from 2 to 21 November 2008;-47,0392;-75,4145;10000;;Golfo de Penas, Chile;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Alexandrium catenella;;1 - good;Pizarro G., Garrido C., Cárdenas C., Frangópulos M., Alarcón C., Guzmán L., Zamora C. & Pacheco H. 2011. Distribución espacial de alexandrium catenella y de toxinas paralizantes en el plancton y mariscos entre el Golfo de Penas y Canal Trinidad (primavera 2008). Revista Ciencia y Tecnología del Mar, 34: 1-4. ;;;;2008-11-02/2008-11-21;Cruise from 2 to 21 November 2008;-46,9493;-74,1675;10000;;Golfo de Penas, Chile;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
