occurrenceID	scientificName	scientificNameID	eventDate	verbatimEventDate	decimalLatitude	decimalLongitude	locality	minimumDepthInMeters	maximumDepthInMeters	coordinateUncertaintyInMeters	basisOfRecord	occurrenceStatus	identificationVerificationStatus	associatedReferences	modified	footprintWKT	occurrenceRemarks	eventRemarks
1b1d90ac-e9db-484e-8f95-b4342704b1bf	Fukuyoa paulensis	urn:lsid:marinespecies.org:taxname:1359643	2013-12	December 2013	-23.501354	-45.11796	Pier of the Marine Station of the University of Saco da Ribeira São Paulo at Ubatuba, São Paulo State, Brazil, Atlantic Ocean	0		1000	HumanObservation	present	1 - good	Gómez et al. 2015, PLoS ONE 10(4) . doi:10.1371/journal.pone.0119676	2020-11-14		New species reported. Type location. Strains deposited at the Culture Collection of Microalgae (CCVIEO) of the Instituto Español de Oceanografía in Vigo, Spain, under accession number VGO1185; Banco Español de Algas (BEA) Spain, under accession number BEA 1203B; and the microalgae culture collection of University of Xiamen, Xiamen, China, under accession number CCMA404	
7ae01d49-b45a-4105-a5c1-b645df0a6be0	Gambierdiscus ruetzleri	urn:lsid:marinespecies.org:taxname:1311307	2004-05	May 2004	16.81666	-88.08333	Southwater Cay, Belize, Caribbean Sea	0		50	HumanObservation	present	1 - good	Litaker et al. 2009, J. Phycol. 48(5):344-390.;Gómez et al. 2015, PLoS ONE 10(4) . doi:10.1371/journal.pone.0119676 Litaker et al. 2017 PLos ONE doi.org/10.1371/journal.pone.0185776	2020-11-14		New species reported. Type location. GAM 1 isolate. Within species toxicity of three isolates reported in Litaker et al. 2017 doi.org/10.1371/journal.pone.0185776	
52938424-a0ed-4ad5-a5c6-73ace034b1e9	Gambierdiscus ruetzleri	urn:lsid:marinespecies.org:taxname:1311307	2010-07/2012-10	July 2010 & October 2012	27.873673	-93.854735	West Bank of the Flower Garden Banks National Marine Sanctuary, northern Gulf of Mexico, USA	40	46	2000	HumanObservation	present	1 - good	Tester et al. 2013, Harmful Algae 29:1-9. doi.org/10.1016/j.hal.2013.07.001	2020-11-14		WH55-Gam 4 isolate	
240594c0-1473-4ef4-bb28-dde9213f50a6	Gambierdiscus ruetzleri	urn:lsid:marinespecies.org:taxname:1311307	2004		16.802994	-88.08226	Carrie Bow Cay, Belize, Central America, Caribbean Sea			50	HumanObservation	present	1 - good	Litaker et al. 2009, Phycologia 48(5):344-390.;Kibler et al. 2015. Ecol. Model. 316:194-210.	2020-11-14		Gam1, isolated from Carrie Bow Cay, Belize	
5977207a-94d6-48e1-8047-1c5339d7579f	Gambierdiscus ruetzleri	urn:lsid:marinespecies.org:taxname:1311307	2011		27.8695	-93.8562	West Flower Garden Bank, Flower Garden Banks National Marine Sanctuary, Texas, northern Gulf of Mexico, USA			1000	HumanObservation	present	1 - good	Tester et al. 2013. Harmful Algae 29:1-9.;Pisapia et al. 2017. Mar Drugs. 15(7). doi.org/10. 3390/md15070220 PMC5532662. PMID: 28696398	2020-11-14		WH55-Gam 4 isolate	
b487698c-24e0-42a5-910e-625fb49b0366	Gambierdiscus ruetzleri	urn:lsid:marinespecies.org:taxname:1311307			33.6385	-76.9451	Continental shelf off North Carolina, USA, Atlantic Ocean			50	HumanObservation	present	1 - good	Litaker et al. 2017. PLoS ONE, 12(10): e0185776.  doi.org/10.1371/ journal.pone.0185776	2020-11-14		NC YASU 7-21Continental shelf off North Carolina, USA, US South Atlantic Bight	
d84f9f9c-81be-4c8d-8b3e-d59fe03c26cc	Gambierdiscus ruetzleri	urn:lsid:marinespecies.org:taxname:1311307	2004		16.802994	-88.08226	Carrie Bow Cay, Belize, Central America, Caribbean Sea			50	HumanObservation	present	1 - good	Kibbler et al. 2012. Harmful Aglae 19:1-14,;Litaker et al. 2009, Phycologia 48(5):344-390.	2020-11-14		NOAA8 isolated from Carrie Bow Cay, Belize, Caribbean	
83d44e67-04f3-4ed7-86cb-c6b5276b3b54	Gambierdiscus ruetzleri	urn:lsid:marinespecies.org:taxname:1311307	2009-07	July 2009	26.93893	-80.0699	Jupiter Beach, Jupiter, Florida, USA, Atlantic Ocean			500	HumanObservation	present	1 - good	Vandersea et al. 2012. J. Phycol. 48:902-915.	2020-11-14			
c2da03ed-a467-4be1-82e8-b0634abbde6f	Gambierdiscus carolinianus	urn:lsid:marinespecies.org:taxname:623629	2003-11-05	5 November 2003	33.6385	-76.9451	Shelf off Cape Fear, North Carolina, Atlantic Ocean			20	HumanObservation	present	1 - good	National Center for Marine Algae and Microbiota collection notes ncma.bigelow.org	2020-11-14		CCMP3144, NOAA6 isolated from the shelf off Cape Fear, North Carolina, US South Atlantic Bight	
4f59ad42-b8fc-4f76-b48f-a66a905e34ef	Gambierdiscus carolinianus	urn:lsid:marinespecies.org:taxname:623629	2009-07	July 2009	26.96365	-80.0781	Coral Cove Park, near Ft. Pierce, Florida, USA, Atlantic Ocean			500	HumanObservation	present	1 - good	Vandersea et al. 2012. J. Phycol. 48:902-915.	2020-11-14			
025089ab-82a2-4dcc-b1d1-ee6f121eb4de	Gambierdiscus carolinianus	urn:lsid:marinespecies.org:taxname:623629	2009-07	July 2009	26.97904	-80.092515	Blowing Rock Park, near Ft. Pierce, Florida, USA. Atlantic Ocean			500	HumanObservation	present	1 - good	Vandersea et al. 2012. J. Phycol. 48:902-915.	2020-11-14			
