occurrenceID	scientificName	eventDate	verbatimEventDate	decimalLatitude	decimalLongitude	locality	minimumDepthInMeters	maximumDepthInMeters	coordinateUncertaintyInMeters	basisOfRecord	occurrenceStatus	identificationVerificationStatus	references	additionalReferences	modified	footprintWKT	occurrenceRemarks	eventRemarks
46a0ad2b-b37c-4a0f-92af-13039cb4df5a	Alexandrium tamarense	1980/2001	Survey from 1980 to 2001	-34.8814	-55.2829	Piriápolis, Uruguay			1000	HumanObservation	present	1 - good	Méndez S. & Medina D. 2004. Twenty-Three Years of Red Tide Monitoring at Fixed stations Along the Coast of Uruguay. 2004. In: Steidinger K. A., Landsberg J. H., Tomas C. R. & Vargo G. A. (Eds.). Harmful Algae 2002. Florida Fish and Wildlife Conservation Commission, Florida Institute of Oceanography, and Intergovernmental Oceanographic Commission of UNESCO. 341-343.	Méndez S. 2006. Impacto de las floraciones algales nocivas en Uruguay: origen, dispersión, monitoreo, control y mitigación. In: Menafra R Rodríguez-Gallego L Scarabino F & D Conde (eds.) Bases para la conservación y el manejo de la costa uruguaya. VIDA SILVESTRE URUGUAY, Montevideo. 57-69.			Recurrent blooms of Alexandrium tamarense in spring months during the period of the survey	
93127398-b390-4518-b154-64e61fd98fba	Alexandrium tamarense	1980/2001	Survey from 1980 to 2001	-34.9625	-54.9467	Punta del Este, Uruguay			1000	HumanObservation	present	1 - good	Méndez S. & Medina D. 2004. Twenty-Three Years of Red Tide Monitoring at Fixed stations Along the Coast of Uruguay. 2004. In: Steidinger K. A., Landsberg J. H., Tomas C. R. & Vargo G. A. (Eds.). Harmful Algae 2002. Florida Fish and Wildlife Conservation Commission, Florida Institute of Oceanography, and Intergovernmental Oceanographic Commission of UNESCO. 341-343.	Méndez S. 2006. Impacto de las floraciones algales nocivas en Uruguay: origen, dispersión, monitoreo, control y mitigación. In: Menafra R Rodríguez-Gallego L Scarabino F & D Conde (eds.) Bases para la conservación y el manejo de la costa uruguaya. VIDA SILVESTRE URUGUAY, Montevideo. 57-69.			Recurrent blooms of Alexandrium tamarense in spring months during the period of the survey	
867b9a95-d655-4f90-b439-40fdc483d6ee	Alexandrium tamarense	1980/2001	Survey from 1980 to 2001	-34.6784	-54.1612	La Paloma, Uruguay			1000	HumanObservation	present	1 - good	Méndez S. & Medina D. 2004. Twenty-Three Years of Red Tide Monitoring at Fixed stations Along the Coast of Uruguay. 2004. In: Steidinger K. A., Landsberg J. H., Tomas C. R. & Vargo G. A. (Eds.). Harmful Algae 2002. Florida Fish and Wildlife Conservation Commission, Florida Institute of Oceanography, and Intergovernmental Oceanographic Commission of UNESCO. 341-343.	Méndez S. 2006. Impacto de las floraciones algales nocivas en Uruguay: origen, dispersión, monitoreo, control y mitigación. In: Menafra R Rodríguez-Gallego L Scarabino F & D Conde (eds.) Bases para la conservación y el manejo de la costa uruguaya. VIDA SILVESTRE URUGUAY, Montevideo. 57-69.			Recurrent blooms of Alexandrium tamarense in spring months during the period of the survey	
c00ec791-01e2-4e72-9b85-92b0f4f8fd81	Alexandrium tamarense	1995-09/1998-12	Survey from September 1995 to December 1998	-42.769	-65.0186	Puerto Madryn, Chubut Province, Argentina			1000	HumanObservation	present	1 - good	Gayoso, A. M. (2001). Observations on Alexandrium tamarense (Lebour)Balech and other dinoflagellate populations in Golfo Nuevo, Patagonia(Argentina). Journal of Plankton Research. 23: 463-468					
61ce6e88-ce67-4eb1-b19e-c13b1c2b18d9	Alexandrium tamarense	1995-09/1998-12	Survey from September 1995 to December 1998	-42.6247	-64.2406	Punta Pardelas, Chubut Province, Argentina			1000	HumanObservation	present	1 - good	Gayoso, A. M. (2001). Observations on Alexandrium tamarense (Lebour)Balech and other dinoflagellate populations in Golfo Nuevo, Patagonia(Argentina). Journal of Plankton Research. 23: 463-468					
cf5004a4-01c4-4301-8b8a-c74f6f82fb87	Alexandrium tamarense	1995-09/1998-12	Survey from September 1995 to December 1998	-42.9302	-64.4986	Bahía Cracker, Chubut Province, Argentina			1000	HumanObservation	present	1 - good	Gayoso, A. M. (2001). Observations on Alexandrium tamarense (Lebour)Balech and other dinoflagellate populations in Golfo Nuevo, Patagonia(Argentina). Journal of Plankton Research. 23: 463-468					
00ffc9cb-5e8c-4ad0-9593-673796a27049	Alexandrium tamarense	1996-08		-32.1917	-52.1536	Praia Cassino, Rio Grande do Sul, Brazil			1000	HumanObservation	present	1 - good	Odebrecht, C.; Mendez, S. e Garcia, V. M. T. 1997. Oceanographic processes and HAB in the Subtropical Southwestern Atlantic (28-36° S). VIII International Conference on Harmful algae. Vigo (España) 1997.	Persich, G.R., Garcia, V.M.T. & Odebrecht, C. 1998. Microalgas potencialmente nocivas na costa do Rio Grande do Sul. XI Semana Nacional de Oceanografia, Rio Grande RS, 18 a 24 de Outubro de 1998.				
996035c2-e93c-4b6e-912c-6fc2504b4736	Alexandrium tamarense	1997-03/1997-07		-32.1917	-52.1536	Praia Cassino, Rio Grande do Sul, Brazil			1000	HumanObservation	present	1 - good	Persich, G.R., Garcia, V.M.T. & Odebrecht, C. 1998. Microalgas potencialmente nocivas na costa do Rio Grande do Sul. XI Semana Nacional de Oceanografia, Rio Grande RS, 18 a 24 de Outubro de 1998.					
8e95e440-4fe4-4fe9-84ce-d8361e606058	Alexandrium tamarense	1997-03-01		-32.1846	-52.0676	Continental Shelf off Lagoa dos Patos, Brazil			1000	HumanObservation	present	1 - good	Persich G.D.R. & Tavano Garcia V.M. 2010. Influência da temperatura, salinidade e luz sobre o crescimento do dinoflagelado Alexandrium tamarense (Dinoflagellata, Dinophyceae) da plataforma continental adjacente ao estuário da Lagoa dos Patos. Atlântica, Rio Grande, 32(1): 25-37.	Persich G.R., Kulis D.M., Lilly E.L., Anderson D.M., Garcia V.M.T.2006. Probable origin and toxin profile of Alexandrium tamarense (Lebour) Balech from southern Brazil. Harmful Algae 5: 36–44.				
52c5f6ee-9f1f-4c95-9f9f-3d0fe767ddfa	Alexandrium tamarense	1999-03-01		-32.1846	-52.0676	Continental Shelf off Lagoa dos Patos, Brazil			1000	HumanObservation	present	1 - good	Persich G.D.R. & Tavano Garcia V.M. 2010. Influência da temperatura, salinidade e luz sobre o crescimento do dinoflagelado Alexandrium tamarense (Dinoflagellata, Dinophyceae) da plataforma continental adjacente ao estuário da Lagoa dos Patos. Atlântica, Rio Grande, 32(1): 25-37.	Persich G.R., Kulis D.M., Lilly E.L., Anderson D.M., Garcia V.M.T.2006. Probable origin and toxin profile of Alexandrium tamarense (Lebour) Balech from southern Brazil. Harmful Algae 5: 36–44.				
