occurrenceID	scientificName	scientificNameID	eventDate	verbatimEventDate	decimalLatitude	decimalLongitude	locality	minimumDepthInMeters	maximumDepthInMeters	coordinateUncertaintyInMeters	basisOfRecord	occurrenceStatus	identificationVerificationStatus	associatedReferences	modified	footprintWKT	occurrenceRemarks	eventRemarks
cf2137e3-505d-4b29-be99-882348968498	Chattonella marina	urn:lsid:marinespecies.org:taxname:233780	2003-05		-43.11	147.69	Nubeena;Australia;Tasmania				HumanObservation	present	1	Hallegraeff 2015 Aquaculturists' guide	2017-01-20			
a5abba9b-8a5c-4d98-a87e-a2d3e49706a0	Vicicitus globosa	urn:lsid:marinespecies.org:taxname:707927	2016-09		-43.19	147.84	Port Arthur;Australia;Tasmania				HumanObservation	present	1	Hallegraeff 2015 Aquaculturists' guide	2017-01-20			
b542e425-7ca9-41a9-8f48-f4eb64bde32d	Vicicitus globosa	urn:lsid:marinespecies.org:taxname:707927	1996		-34.72	135.86	Port Lincoln;Australia;South Australia				HumanObservation	present	1	Hallegraeff 2015 Aquaculturists' guide	2017-01-20			
596441d1-057c-41fc-8d0a-4cbc7bc8cb6e	Vicicitus globosa	urn:lsid:marinespecies.org:taxname:707927	1996		-33.85	151.22	Sydney Harbour;Australia;NSW				HumanObservation	present	1	Hallegraeff 2015 Aquaculturists' guide	2017-01-20			
123fec75-4a24-49a5-a95f-130f7de8e206	Vicicitus globosus	urn:lsid:marinespecies.org:taxname:707927	2010-05		-41.27	174.86	Wellington Harbour;New Zealand;North Island				HumanObservation	present	1	Chang & Mullan 2012 The 15th Int. Conf. on Harmful Algae. Pp.199-202	2018-03-08			
2523749a-af48-4c02-be26-86d0e59b7e7f	Pseudochattonella verruculosa	urn:lsid:marinespecies.org:taxname:531446	2006-09		-42.89	147.34	River Derwent;Australia;Tasmania				HumanObservation	present	1	Hallegraeff 2015 Aquaculturists' guide	2017-01-20			
b36f0640-3c3f-408b-b92b-5936ac91afe0	Pseudochattonella verruculosa	urn:lsid:marinespecies.org:taxname:531446	2010-06-05/2010-06-12		-41.08	174.33	Queen Charlotte Sound;New Zealand;South Island				HumanObservation	present	1	MacKenzie et al 2011 Harmful Algae 11: 45-53	2018-03-08			http://haedat.iode.org/viewEvent.php?eventID=6020
f3314697-877a-41ca-b9a8-f22b4d14fa30	Nodularia spumigena	urn:lsid:marinespecies.org:taxname:160566	1878		-35.45	139.09	Lake Alexandrina;Australia;South Australia				HumanObservation	present	1	Hallegraeff 2015 Aquaculturists' guide	2017-01-20			
a3cbb8ad-2596-4ab3-8c5e-3d4af4cdc86f	Nodularia spumigena	urn:lsid:marinespecies.org:taxname:160566	1989-10/1990-02		-32.02	115.74	Peel-Harvey estuary;Australia;Western Australia				HumanObservation	present	1	Falconer,Choice & Hosja, 1992. Environmental Toxicology and Water Quality 7: 119-123.	2017-01-20			
b07324ec-4868-4dc2-97ba-72e02f6df2a8	Nodularia spumigena	urn:lsid:marinespecies.org:taxname:160566	1992-12/1993-02		-42.81	147.54	Orielton Lagoon;Australia;Tasmania				HumanObservation	present	1	Jones G.J. et al., 1994. Austr J Mar Freshw Research 45: 787-878	2017-01-20			
ae660ada-c3d2-4e50-b51c-b78858bf09a9	Nodularia spumigena	urn:lsid:marinespecies.org:taxname:160566	1980-03-24		-43.79	172.49	Lake Ellesmere;New Zealand;South Island				HumanObservation	present	1	Carmichael et al., 1988. App. Enviro. Microbio. 54(9): 2257-2263	2018-03-09		Analyses of toxin	
2eddb9c4-ef7b-489c-a3ff-5ef82fcad181	Nodularia spumigena	urn:lsid:marinespecies.org:taxname:160566	2003-04		-43.8	172.74	Lake Forsyth ;New Zealand;South Island				HumanObservation	present	1	Wood et al., 2006. NZ J Mar Freshw. Research 40: 585-597.	2018-03-12			
d0adf583-cc9a-458f-8616-a4cd6ae72e20	Microcystis aeruginosa	urn:lsid:marinespecies.org:taxname:146557	2000		-31.99	115.84	Swan River;Australia;Western Autralia				HumanObservation	present	1	Hallegraeff 2015 Aquaculturists' guide	2017-01-20			
ca69824f-4954-4ce2-8ef0-40d71c819f87	Microcystis aeruginosa	urn:lsid:marinespecies.org:taxname:146557	1986-04-07		-35.12	138.7	Mount Bold Reservoir;Australia;South Australia				HumanObservation	present	1	Hallegraeff 2015 Aquaculturists' guide	2017-01-20			
e26dfae5-cdb0-4f1c-b6f6-60e4d98d1e1e	Microcystis aeruginosa	urn:lsid:marinespecies.org:taxname:146557	1993-02-09		-37.99	147.64	Gippsland Lakes;Australia;Victoria				HumanObservation	present	1	Hallegraeff 2015 Aquaculturists' guide	2017-01-20			
a7feeeab-47f7-4c3b-b65b-42ad6363c2b6	Microcystis aeruginosa	urn:lsid:marinespecies.org:taxname:146557	2003-04		-40.1	175.28	Dudding Lake ;New Zealand;North Island				HumanObservation	present	1	Wood et al., 2006. NZ J Mar Freshw. Research 40: 585-597.	2017-02-07			
66660188-b989-4d43-a24d-c6fedd2fe91d	Microcystis flosaquae	urn:lsid:marinespecies.org:taxname:146557	2003-03		-36.52	174.23	Lake Kuwakatai ;New Zealand;North Island				HumanObservation	present	1	Wood et al., 2006. NZ J Mar Freshw. Research 40: 585-597.	2018-03-12			
96e970f3-cd36-4b16-9f6e-4810872a294e	Microcystis wesenbergii	urn:lsid:marinespecies.org:taxname:146557	2004-01		-35.33	173.61	Utakura River;New Zealand;North Island				HumanObservation	present	1	Wood et al., 2006. NZ J Mar Freshw. Research 40: 585-597.	2018-03-12			
171e4532-1a76-4ddf-8c72-f93aab457c69	Microcystis botrys	urn:lsid:marinespecies.org:taxname:146557	2002-02		-38.01	176.38	Lake Rotoiti;New Zealand;North Island				HumanObservation	present	1	Wood et al., 2005. NZ J Botany. 43: 479-492	2018-03-27			
79330bd2-71ee-41d3-b9fb-c0109ac75773	Anabina circinalis	urn:lsid:marinespecies.org:taxname:146585	1991-11		-34.18	140.11	Darling River;Australia;NSW				HumanObservation	present	1	Hallegraeff 2015 Aquaculturists' guide	2017-02-02			
69e09bbc-c4af-40b9-a4d2-7ffbaed69325	Anabina circinalis	urn:lsid:marinespecies.org:taxname:146585	1971-12		-35.4	146.35	Uranagong Lake;Australia;NSW				HumanObservation	present	1	May & McBarron 1973. JAustralian Institute of Agricultural Science 39: 264-66	2017-02-02			
c0a504af-3346-4dc6-95a1-3c23abb20a68	Cylindrospermopsis raciborskii	urn:lsid:marinespecies.org:taxname:146584	2003-03		-37.55	175.12	Lake Waahi;New Zealand;North Island				HumanObservation	present	1	Wood & Stirling. 2003. NZ J. Mar. Freshw. Research 37: 821-828	2018-03-09			
c5469b09-94af-4416-9522-53a20361ea62	Phormidium sp.	urn:lsid:marinespecies.org:taxname:146690	2005-11		-41.17	174.98	Hutt River;New Zealand;North Island				HumanObservation	present	1	Wood et al., 2007. Toxicon 50: 292-301	2018-03-09			http://haedat.iode.org/viewEvent.php?eventID=6368
2a35036a-1dae-499a-87d4-88e91ea5f6f1	Oscillatoria sp.	urn:lsid:marinespecies.org:taxname:146603	1998-12		-40.89	175.06	Waikanae River;New Zealand;North Island				HumanObservation	present	1	Hamill KD. 2001. NZ J Mar. Freshw. Research. 35: 1057-1059	2018-03-09			http://haedat.iode.org/viewEvent.php?eventID=6369
e4621f24-0fa9-40a5-ab07-f081a870b8e1	Oscillatoria sp.	urn:lsid:marinespecies.org:taxname:146603	1999-01/1999-02		-45.41	168.62	Mataura River ;New Zealand;South Island				HumanObservation	present	1	Hamill KD. 2001. NZ J Mar. Freshw. Research. 35: 1057-1059	2018-03-09			http://haedat.iode.org/viewEvent.php?eventID=6370
97384df3-ba9c-419d-a6ef-d8ab24518235	Planktothrix sp.	urn:lsid:marinespecies.org:taxname:146551	2008-11		-44.81	170.79	Waitaki River;New Zealand;South Island				HumanObservation	present	1	Wood et al., 2010. Toxicon 55: 897-903	2018-03-09			http://haedat.iode.org/viewEvent.php?eventID=6371
