occurrenceID	scientificName	scientificNameID	eventDate	verbatimEventDate	decimalLatitude	decimalLongitude	locality	minimumDepthInMeters	maximumDepthInMeters	coordinateUncertaintyInMeters	basisOfRecord	occurrenceStatus	identificationVerificationStatus	associatedReferences	modified	footprintWKT	occurrenceRemarks	eventRemarks
ea3029a9-0c39-4636-9a04-e353bb5af204	Gonyaulax catenella	urn:lsid:marinespecies.org:taxname:231873	1972-10/1972-11-11		-53.9286	-71.8094	Bahía Bell, Magallanes Region, Chile			1000	HumanObservation	present	1 - good	Guzmán L. & Campodónico. 1975. Marea roja en la región de Magallanes. Publicaciones del Instituto de la Patagonia. Serie Monografías. Punta Arenas, Chile. 9(3): 631-639.;Guzmán L., Campodónico I. & Hermosilla H. 1975. Estudios sobre un florecimiento tóxico causado por Gonyaulax catenella en Magallanes. I. Distribución espacial y temporal de G. catenella. Anales del Instituto de la Patagonia, 6 (1-2): 173-183.            Muñoz P. 1985. Revisión taxonómica de los dinoflagelados de Chile. Revista de Biología Marina. Valparaíso 21(1): 31-60.				
c2f71b23-8ad6-4688-99fd-8a12a3b00dd7	Gonyaulax catenella	urn:lsid:marinespecies.org:taxname:231873	1972-11-28/1973-01-16		-53.9286	-71.8094	Bahía Bell, Magallanes Region, Chile			1000	HumanObservation	present	1 - good	Guzmán L. & Campodónico. 1975. Marea roja en la región de Magallanes. Publicaciones del Instituto de la Patagonia. Serie Monografías. Punta Arenas, Chile. 9(3): 631-639.;Guzmán L., Campodónico I. & Hermosilla H. 1975. Estudios sobre un florecimiento tóxico causado por Gonyaulax catenella en Magallanes. I. Distribución espacial y temporal de G. catenella. Anales del Instituto de la Patagonia, 6 (1-2): 173-183.            Muñoz P. 1985. Revisión taxonómica de los dinoflagelados de Chile. Revista de Biología Marina. Valparaíso 21(1): 31-60.				
fd3e1322-a5fb-4255-93d8-449ae2fdc8d0	Gonyaulax catenella	urn:lsid:marinespecies.org:taxname:231873	1972-12-01/1972-11-27				Bahía Buena, Magallanes Region, Chile			1000	HumanObservation	present	1 - good	Guzmán L. & Campodónico. 1975. Marea roja en la región de Magallanes. Publicaciones del Instituto de la Patagonia. Serie Monografías. Punta Arenas, Chile. 9(3): 631-639.;Guzmán L., Campodónico I. & Hermosilla H. 1975. Estudios sobre un florecimiento tóxico causado por Gonyaulax catenella en Magallanes. I. Distribución espacial y temporal de G. catenella. Anales del Instituto de la Patagonia, 6 (1-2): 173-183.            Muñoz P. 1985. Revisión taxonómica de los dinoflagelados de Chile. Revista de Biología Marina. Valparaíso 21(1): 31-60.		LINESTRING (-70.90164 -53.55092, -70.90027 -53.60554, -70.88379 -53.65685, -70.93323 -53.69752)		
02443cb6-410f-4e04-983d-340bbe745514	Gonyaulax catenella	urn:lsid:marinespecies.org:taxname:231873	1973-01-16		-54.2363	-71.6597	Isla Aguirre, Magallanes Region, Chile			1000	HumanObservation	present	1 - good	Guzmán L. & Campodónico. 1975. Marea roja en la región de Magallanes. Publicaciones del Instituto de la Patagonia. Serie Monografías. Punta Arenas, Chile. 9(3): 631-639.;Guzmán L., Campodónico I. & Hermosilla H. 1975. Estudios sobre un florecimiento tóxico causado por Gonyaulax catenella en Magallanes. I. Distribución espacial y temporal de G. catenella. Anales del Instituto de la Patagonia, 6 (1-2): 173-183.            Muñoz P. 1985. Revisión taxonómica de los dinoflagelados de Chile. Revista de Biología Marina. Valparaíso 21(1): 31-60.				
efe76d67-62c9-4f59-a1e7-7943d0e55ace	Alexandrium tamarense	urn:lsid:marinespecies.org:taxname:231873	1995	The precise dates of samplings are not described in the text.			Coastal and shelf waters of Argentinean Sea				HumanObservation	present	1 - good	Balech E. 1995. The Genus Alexandrium Halim (Dinoflagellata) Sherkin Island Marine Station, Sherkin Island, Co. Cork, Ireland. pp 151.;Balech E. 2002. Dinoflagelados tecados tóxicos del Cono Sur Americano. In: ). In: Sar E. A., Ferrario M. E. & Reguera B. eds. Floraciones Algales del Cono Sur Americano. Instituto Español de Oceanografía. Capítulo 4: 123-144.		LINESTRING (-54.75586 -36.10238, -58.18359 -39.02772, -61.04004 -40.07807, -62.88574 -42.06561, -64.55566 -44.55916, -65.87402 -46.16461)	Reported as Alexandrium tamarense and Gonyaulax excavata.	
4b85d4d5-8a02-4800-8e38-8977acad32c7	Gonyaulax excavata	urn:lsid:marinespecies.org:taxname:231873	1980-11-21		-42.3936	-62.7683	Shelf waters off Peninsula Valdes, Shelf of Argentinean shelf				HumanObservation	present	1 - good	Carreto J.I., Lasta M., Negri R. M. & Benavides H. 1981. Los fenómenos de marea roja y toxicidad de moluscos bivalvos en el Mar Argentino. Contribución del INIDEP 399: 1-93.;Carreto J. I., Akselman R., Benavides H, Montoya N. G. & Negri R. M. 2002. El Proyecto Marea Roja del Instituto Nacional de Investigación y Desarrollo Pesquero (INIDEP). In: Sar E. A., Ferrario M. E. & Reguera B. eds. Floraciones Algales del Cono Sur Americano. Instituto Español de Oceanografía. Capítulo 9: 209-215.		1000	First outbreak of PSP in Argentina, with two documented fatalities, two fishermen dead. Toxin detected in Mytilus edulis, Aulacomya ater and Chlamys tehuelchus. Species confirmed by Balech com pers. In Carreto et al. 1981.	
9b9fe316-0c2a-44a5-b153-4d64f236bdb6	Gonyaulax excavata	urn:lsid:marinespecies.org:taxname:231873	1980-12				Gulfs of San Matías and San José, Argentinean Sea				HumanObservation	present	1 - good	Carreto J.I., Lasta M., Negri R. M. & Benavides H. 1981. Los fenómenos de marea roja y toxicidad de moluscos bivalvos en el Mar Argentino. Contribución del INIDEP 399: 1-93.;Carreto J. I., Akselman R., Benavides H, Montoya N. G. & Negri R. M. 2002. El Proyecto Marea Roja del Instituto Nacional de Investigación y Desarrollo Pesquero (INIDEP). In: Sar E. A., Ferrario M. E. & Reguera B. eds. Floraciones Algales del Cono Sur Americano. Instituto Español de Oceanografía. Capítulo 9: 209-215.		POLYGON ((-64.69574 -41.99828, -64.69025 -41.42831, -64.08325 -41.26955, -63.47351 -41.29019, -63.12744 -41.43861, -63.54218 -41.95745, -64.07227 -42.05949, -64.39087 -42.22852, -64.12445 -42.31794, -64.16290 -42.38087, -64.39911 -42.39912, -64.52545 -42.38087, -64.45679 -42.27121, -64.44580 -42.21835, -64.69574 -41.99828))		
6e420ea6-faa0-441d-a378-ea299c9491e3	Gonyaulax excavata	urn:lsid:marinespecies.org:taxname:231873	1980-12				Shelf waters off Peninsula Valdes, Shelf of Argentinean shelf				HumanObservation	present	1 - good	Carreto J.I., Lasta M., Negri R. M. & Benavides H. 1981. Los fenómenos de marea roja y toxicidad de moluscos bivalvos en el Mar Argentino. Contribución del INIDEP 399: 1-93.;Carreto J. I., Akselman R., Benavides H, Montoya N. G. & Negri R. M. 2002. El Proyecto Marea Roja del Instituto Nacional de Investigación y Desarrollo Pesquero (INIDEP). In: Sar E. A., Ferrario M. E. & Reguera B. eds. Floraciones Algales del Cono Sur Americano. Instituto Español de Oceanografía. Capítulo 9: 209-215.		POLYGON ((-63.33618 -42.06561, -63.35815 -42.78331, -61.74866 -42.84375, -61.83105 -42.00441, -63.42407 -41.52914, -63.33618 -42.06561))		
8d2e6aa3-b6ed-447a-ac19-f0f4d1d65901	Alexandrium tamarense	urn:lsid:marinespecies.org:taxname:231873	1980/2001	Survey from 1980 to 2001	-34.8814	-55.2829	Piriápolis, Uruguay			1000	HumanObservation	present	1 - good	Méndez S. & Medina D. 2004. Twenty-Three Years of Red Tide Monitoring at Fixed stations Along the Coast of Uruguay. 2004. In: Steidinger K. A., Landsberg J. H., Tomas C. R. & Vargo G. A. (Eds.). Harmful Algae 2002. Florida Fish and Wildlife Conservation Commission, Florida Institute of Oceanography, and Intergovernmental Oceanographic Commission of UNESCO. 341-343.;Méndez S. 2006. Impacto de las floraciones algales nocivas en Uruguay: origen, dispersión, monitoreo, control y mitigación. In: Menafra R Rodríguez-Gallego L Scarabino F & D Conde (eds.) Bases para la conservación y el manejo de la costa uruguaya. VIDA SILVESTRE URUGUAY, Montevideo. 57-69.  Brazeiro A., Méndez S. & Ferrari G. 1997. The first toxic bloom of Alexandrium tamarense in Uruguay: associated environmental factors. Atlantica, Río Grande 19:19-29.			Recurrent blooms of Alexandrium tamarense in spring months during the period of the survey. First report of toxic event in 1991 (Brazeiro et al. 1997)	
68eeca0c-bb04-4654-b17d-1a6cb853303d	Alexandrium tamarense	urn:lsid:marinespecies.org:taxname:231873	1980/2001	Survey from 1980 to 2001	-34.9625	-54.9467	Punta del Este, Uruguay			1000	HumanObservation	present	1 - good	Méndez S. & Medina D. 2004. Twenty-Three Years of Red Tide Monitoring at Fixed stations Along the Coast of Uruguay. 2004. In: Steidinger K. A., Landsberg J. H., Tomas C. R. & Vargo G. A. (Eds.). Harmful Algae 2002. Florida Fish and Wildlife Conservation Commission, Florida Institute of Oceanography, and Intergovernmental Oceanographic Commission of UNESCO. 341-343.;Méndez S. 2006. Impacto de las floraciones algales nocivas en Uruguay: origen, dispersión, monitoreo, control y mitigación. In: Menafra R Rodríguez-Gallego L Scarabino F & D Conde (eds.) Bases para la conservación y el manejo de la costa uruguaya. VIDA SILVESTRE URUGUAY, Montevideo. 57-69.  Brazeiro A., Méndez S. & Ferrari G. 1997. The first toxic bloom of Alexandrium tamarense in Uruguay: associated environmental factors. Atlantica, Río Grande 19:19-29.			Recurrent blooms of Alexandrium tamarense in spring months during the period of the survey. First report of toxic event in 1991 (Brazeiro et al. 1997)	
